0.0147	0.0134	0.0122	0.0114	0.0106	0.0101	0.0096	0.0093	0.0089	0.0086	0.0082
0.0459	0.0411	0.0363	0.0323	0.0291	0.0274	0.0260	0.0253	0.0241	0.0237	0.0228
0.0865	0.0797	0.0729	0.0671	0.0625	0.0594	0.0568	0.0547	0.0528	0.0509	0.0494
0.0983	0.1010	0.1030	0.1046	0.1043	0.1015	0.0980	0.0948	0.0914	0.0884	0.0852
0.0671	0.0904	0.1112	0.1291	0.1396	0.1396	0.1358	0.1311	0.1270	0.1225	0.1184
0.0278	0.0671	0.1024	0.1325	0.1522	0.1542	0.1506	0.1457	0.1410	0.1367	0.1323
0.0070	0.0472	0.0835	0.1147	0.1346	0.1376	0.1348	0.1305	0.1262	0.1222	0.1178
0.0013	0.0312	0.0578	0.0811	0.0962	0.0988	0.0965	0.0937	0.0903	0.0874	0.0848
0.0001	0.0175	0.0327	0.0462	0.0552	0.0567	0.0557	0.0536	0.0520	0.0504	0.0489
0.0001	0.0081	0.0149	0.0217	0.0255	0.0259	0.0255	0.0247	0.0239	0.0232	0.0224
0.0002	0.0028	0.0054	0.0079	0.0095	0.0097	0.0094	0.0094	0.0086	0.0085	0.0082

