0.015	0.014	0.014	0.013	0.013	0.012	0.012	0.011	0.010	0.010	0.009	0.009	0.008	0.008	0.007	0.006	0.006	0.005	0.005	0.005	0.004	0.004	0.004	0.003	0.003	0.003
0.028	0.026	0.025	0.024	0.023	0.022	0.021	0.020	0.019	0.017	0.017	0.015	0.014	0.013	0.012	0.011	0.010	0.009	0.009	0.008	0.007	0.007	0.006	0.006	0.005	0.005
0.046	0.044	0.042	0.040	0.038	0.036	0.034	0.032	0.030	0.028	0.027	0.025	0.023	0.021	0.020	0.018	0.016	0.015	0.014	0.013	0.012	0.011	0.010	0.010	0.009	0.009
0.067	0.064	0.061	0.059	0.056	0.053	0.051	0.048	0.045	0.043	0.040	0.037	0.035	0.032	0.030	0.027	0.025	0.023	0.021	0.020	0.018	0.017	0.016	0.015	0.014	0.013
0.087	0.084	0.081	0.078	0.075	0.072	0.069	0.066	0.063	0.059	0.056	0.053	0.049	0.046	0.043	0.039	0.036	0.033	0.031	0.028	0.026	0.025	0.023	0.022	0.021	0.020
0.098	0.097	0.095	0.093	0.091	0.089	0.085	0.083	0.080	0.077	0.073	0.069	0.065	0.061	0.057	0.053	0.049	0.046	0.043	0.040	0.037	0.035	0.033	0.031	0.030	0.028
0.099	0.099	0.100	0.100	0.100	0.100	0.099	0.098	0.096	0.093	0.090	0.086	0.082	0.078	0.073	0.069	0.064	0.060	0.056	0.052	0.050	0.047	0.044	0.042	0.040	0.039
0.087	0.092	0.096	0.100	0.103	0.105	0.107	0.108	0.108	0.107	0.105	0.101	0.098	0.094	0.089	0.085	0.080	0.075	0.071	0.067	0.063	0.060	0.058	0.055	0.053	0.051
0.067	0.076	0.085	0.093	0.099	0.105	0.110	0.114	0.116	0.116	0.116	0.114	0.112	0.108	0.104	0.099	0.095	0.090	0.086	0.082	0.078	0.075	0.072	0.069	0.066	0.065
0.046	0.059	0.072	0.083	0.093	0.102	0.109	0.115	0.120	0.123	0.124	0.124	0.122	0.119	0.116	0.112	0.108	0.104	0.099	0.096	0.092	0.089	0.086	0.083	0.081	0.079
0.028	0.044	0.058	0.072	0.085	0.096	0.105	0.113	0.119	0.124	0.127	0.128	0.128	0.127	0.124	0.121	0.118	0.115	0.111	0.108	0.104	0.101	0.098	0.096	0.094	0.092
0.015	0.032	0.048	0.062	0.076	0.088	0.098	0.107	0.115	0.121	0.125	0.128	0.129	0.129	0.128	0.127	0.124	0.122	0.119	0.117	0.114	0.112	0.110	0.108	0.106	0.104
0.007	0.023	0.038	0.053	0.066	0.078	0.089	0.099	0.107	0.113	0.119	0.122	0.125	0.127	0.128	0.127	0.127	0.126	0.124	0.123	0.121	0.120	0.118	0.116	0.115	0.113
0.003	0.017	0.032	0.044	0.056	0.067	0.078	0.087	0.095	0.102	0.108	0.113	0.117	0.120	0.122	0.124	0.125	0.125	0.125	0.125	0.124	0.124	0.123	0.122	0.121	0.119
0.001	0.013	0.025	0.036	0.047	0.056	0.065	0.074	0.082	0.089	0.095	0.100	0.105	0.110	0.113	0.116	0.119	0.121	0.122	0.123	0.124	0.124	0.124	0.123	0.122	0.122
0.000	0.010	0.019	0.028	0.037	0.045	0.053	0.060	0.068	0.074	0.080	0.087	0.092	0.097	0.102	0.107	0.110	0.113	0.116	0.118	0.119	0.120	0.120	0.121	0.121	0.120
0.000	0.007	0.014	0.021	0.028	0.035	0.041	0.047	0.054	0.060	0.066	0.072	0.078	0.084	0.090	0.095	0.099	0.103	0.107	0.109	0.111	0.113	0.114	0.115	0.115	0.115
0.000	0.005	0.010	0.015	0.020	0.025	0.030	0.036	0.042	0.047	0.053	0.059	0.065	0.071	0.077	0.082	0.087	0.092	0.095	0.099	0.101	0.103	0.104	0.106	0.106	0.106
0.000	0.003	0.007	0.011	0.014	0.018	0.022	0.026	0.031	0.036	0.042	0.047	0.053	0.058	0.064	0.070	0.075	0.079	0.083	0.086	0.089	0.091	0.093	0.094	0.095	0.095
0.000	0.002	0.004	0.007	0.010	0.012	0.016	0.019	0.023	0.027	0.032	0.037	0.042	0.047	0.052	0.057	0.062	0.066	0.070	0.073	0.076	0.078	0.079	0.080	0.081	0.082
0.000	0.001	0.003	0.004	0.006	0.008	0.011	0.013	0.016	0.020	0.024	0.028	0.033	0.037	0.042	0.046	0.050	0.054	0.057	0.061	0.062	0.065	0.066	0.067	0.068	0.068

